,FM6,FM14,FM44,FM55,FM62,FM63,FM65,FM72,FM73,FM106,FM130,FM174,FM195,FM245,FM321,FM332,FM359,FM373,FM376,FM380,FM382,FM383,FM386,FM403,FM405,FM506,FM589,FM594,FM608,FM610,FHC633,FHC636,FHC644,FHC649,FHC659,FHC671,FHC680,FHC705,FHC712,FHC724
Actinomyces massiliensis,0,0.0004,0,0,9.54693,0.01023,0,0,0,0.05221,0,0,0,0,0,0,0.23229,0,0,0,0,0,0,0,0.03662,0,0,0,0,0.22861,0,0,0,0.01205,0.01097,0,0,0,0.07085,0
Actinomyces naeslundii,0,0.00364,0,0,3.49129,0.07336,0,0,0.00749,0.02488,0,0,0,0,0,0,0.13727,0,0.20792,0,0.00839,0,0,0,0.0069,0,0,0.00833,0,0.10706,0,0,0,0.01024,0,0,0,0,0,0
Actinomyces odontolyticus,0.60354,0.83857,1.36464,1.50183,0,0.65092,0.14731,0.40726,0.42655,0.77962,0.17795,0,0.01692,0.26677,0.15512,0,1.45776,2.1302,0.2822,0,0.3093,0.25602,0.17751,0.25064,0.37576,0.29873,0.25037,0.01812,0,0.03473,0.39047,0.15308,0.23193,0.07656,0.13247,0.21662,0.49964,0,0.33649,0.02514
Actinomyces oris,0,0.00883,0,0.00668,0.63412,0.77898,0.00595,0,0.00929,0,0,0,0.00651,0,0,0.09284,0.22363,0.04955,0.8731,0,0.30704,0,0.02803,0,0.09127,0,0.00316,0,0.02321,0.35483,0.0357,0.00807,0.01701,0.10348,0,0,0,0,0.07338,0
Actinomyces sp ICM39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45692,0,0,0,0,0,0,0,0,0,1.66766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces sp ICM47,2.5296,3.34519,0.81904,0.93651,0,0,0,0,0,3.49944,0,0,0,0,0.9264,0,0,0,0,0,0,0,3.23196,0,8.23548,0,0,0,0,0,13.82435,0,0,0,0,0,0,0,0,0
Actinomyces sp oral taxon 849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5939,0,0,0,0,0,0,0,0,0,0
Actinomyces viscosus,0,0.00692,0,0.00747,0.68473,0.09529,0.00322,0,0.08502,0.03542,0,0.0481,0.06621,0,0.01055,0.01981,0.34214,0.07471,0.25772,0,0.02045,0.00087,0.02009,0,0.07968,0,0.01626,0,0.00416,0.02321,0.14541,0.0287,0,0.07089,0.00277,0,0.01478,0,0.0441,0
Aggregatibacter actinomycetemcomitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00556,0,0,0,0,0,0,0,0,0,0,0,0.0101,0,0,0.10518,0.33138,0,0
Aggregatibacter aphrophilus,0,0,0,0,0,0,0,0.23085,0.1943,0,0,0,0,0,0,0,0,0,0.0172,0.04929,0,0.03528,0,0,0,0,0.00323,0,0,0,0,0,0,0,0,0,0.03444,0,0,0
Aggregatibacter segnis,0.00793,0.00204,0.071,0.09741,0.03494,0.41115,0.14834,0,0.24891,0.27347,0.09931,0,0.16616,0,0.0364,0.08552,0.01886,0.11912,0.02188,0.19647,0,1.0359,0.00614,0.12314,0,0.09099,0.07011,0.08653,0.12569,0.049,0.05171,1.67711,0,0.28059,0.03186,0.24443,0,0,0.02084,0.10048
Aggregatibacter sp oral taxon 458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter unclassified,0,0.05128,0,0.0121,0.15511,0.29423,0.02899,0,0.20003,0,0.14923,0,0,0.01435,0.03745,0.12304,0.02293,0.19704,1.32213,0.20943,0,0,0.03956,0.045,0.01567,0.20694,0.32812,0.15319,0.06008,0.16906,0.17637,0,0.46678,0.24097,0.61213,0.05253,0.22607,1.05861,0.1103,0.13005
Alicycliphilus unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alloprevotella rava,0.27241,2.04098,0.03711,0.02544,4.78264,0.1769,0.02097,0.00384,0.01581,0,0.16353,4.24255,0.03652,0.05589,12.04328,0.03058,0,0.02091,3.89477,0.00191,0,0.25067,0.01489,0.05245,3.41709,3.93593,0.01839,0,0,0,0,0,0.23251,1.02714,0.001,4.47242,0.01988,0.19354,0.09362,0.07814
Alloprevotella tannerae,0.01308,0.9405,0.06664,0.218,3.25544,0.58428,5.95241,0.53739,1.0832,2.12114,0.11068,2.78847,0.10732,1.13491,1.47449,0.45318,0.18585,0.74136,0.32384,2.68766,0.42665,5.20184,0.41404,9.789,0.17941,0.32687,3.30096,0.06025,0.36142,0.12047,0.34196,8.05859,0.62986,2.86447,0.24949,13.67423,14.5528,0.62519,3.52196,0.57436
Alloprevotella unclassified,0,0,0,0,0,0,0,0,0,0,0.43776,0,0,0.24715,0,0.43111,0,0,0,3.77356,5.94167,0,0,0,0,0,0,0.42756,0,0.04468,0,0,0,0,0.09869,0,0,2.51724,0,0.28503
Alloscardovia omnicolens,0.10089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
